director_name,actor_1_name,actor_2_name,actor_3_name,genres,movie_title,comb
roland emmerich,oliver platt,liam james,tom mccarthy,action adventure sci-fi,2012,oliver platt liam james tom mccarthy roland emmerich action adventure sci-fi ark catastrophe geologist president writer english
robert zemeckis,robin wright,colin firth,gary oldman,animation drama family fantasy,a christmas carol,robin wright colin firth gary oldman robert zemeckis animation drama family fantasy charles dickens christmas christmas eve ghost scrooge english
lana wachowski,channing tatum,mila kunis,eddie redmayne,action adventure sci-fi,jupiter ascending,channing tatum mila kunis eddie redmayne lana wachowski action adventure sci-fi box office flop critically bashed planet earth space opera woman in bra and panties english
andrew adamson,jim broadbent,kiran shah,shane rangi,adventure family fantasy,"the chronicles of narnia: the lion, the witch and the wardrobe",jim broadbent kiran shah shane rangi andrew adamson adventure family fantasy hide and seek lion magic professor snow english
bryan singer,jennifer lawrence,michael fassbender,tye sheridan,action adventure sci-fi,x-men: apocalypse,jennifer lawrence michael fassbender tye sheridan bryan singer action adventure sci-fi mutant superhero superhero team x men year 1983 english
christopher nolan,christian bale,heath ledger,morgan freeman,action crime drama thriller,the dark knight,christian bale heath ledger morgan freeman christopher nolan action crime drama thriller based on comic book dc comics psychopath star died before release urban setting english
pete docter,john ratzenberger,delroy lindo,jess harnell,adventure animation comedy family,up,john ratzenberger delroy lindo jess harnell pete docter adventure animation comedy family balloon house promise retirement skeleton english
rob letterman,amy poehler,rainn wilson,stephen colbert,action adventure animation comedy family sci-fi,monsters vs. aliens,amy poehler rainn wilson stephen colbert rob letterman action adventure animation comedy family sci-fi alien alien invasion alien space craft giant giantess english
jon favreau,robert downey jr.,jeff bridges,jon favreau,action adventure sci-fi,iron man,robert downey jr. jeff bridges jon favreau jon favreau action adventure sci-fi afghanistan billionaire inventor playboy u.s. air force english
martin scorsese,chloë grace moretz,christopher lee,ray winstone,adventure drama family mystery,hugo,chloë grace moretz christopher lee ray winstone martin scorsese adventure drama family mystery automaton mechanical railway station steampunk train english
barry sonnenfeld,will smith,salma hayek,bai ling,action comedy sci-fi western,wild wild west,will smith salma hayek bai ling barry sonnenfeld action comedy sci-fi western buddy movie general inventor steampunk utah english
rob cohen,jet li,brendan fraser,russell wong,action adventure fantasy horror thriller,the mummy: tomb of the dragon emperor,jet li brendan fraser russell wong rob cohen action adventure fantasy horror thriller army china emperor mummy shangri la english
david ayer,will smith,robin atkin downes,ike barinholtz,action adventure comedy sci-fi,suicide squad,will smith robin atkin downes ike barinholtz david ayer action adventure comedy sci-fi based on comic book critically bashed father daughter relationship reference to superman super villain english
tom shadyac,jimmy bennett,morgan freeman,steve carell,comedy family fantasy,evan almighty,jimmy bennett morgan freeman steve carell tom shadyac comedy family fantasy ark change congressman depiction of god flood english
doug liman,tom cruise,lara pulver,noah taylor,action adventure sci-fi,edge of tomorrow,tom cruise lara pulver noah taylor doug liman action adventure sci-fi alien combat dying repeatedly end of the world time loop english
kevin reynolds,jeanne tripplehorn,rick aviles,zakes mokae,action adventure sci-fi thriller,waterworld,jeanne tripplehorn rick aviles zakes mokae kevin reynolds action adventure sci-fi thriller future sail sea smoker water english
stephen sommers,joseph gordon-levitt,dennis quaid,leo howard,action adventure sci-fi thriller,g.i. joe: the rise of cobra,joseph gordon-levitt dennis quaid leo howard stephen sommers action adventure sci-fi thriller cobra gi joe snake train warhead english
pete docter,amy poehler,mindy kaling,phyllis smith,adventure animation comedy drama family fantasy,inside out,amy poehler mindy kaling phyllis smith pete docter adventure animation comedy drama family fantasy anger joy memory running away sadness english
jon favreau,robert downey jr.,scarlett johansson,jon favreau,action adventure sci-fi,iron man 2,robert downey jr. scarlett johansson jon favreau jon favreau action adventure sci-fi hammer military monaco revenge tony stark english
rupert sanders,chris hemsworth,kristen stewart,sam claflin,action adventure drama fantasy,snow white and the huntsman,chris hemsworth kristen stewart sam claflin rupert sanders action adventure drama fantasy evil queen fairy tale magic queen snow white english
robert stromberg,angelina jolie pitt,sharlto copley,sam riley,action adventure family fantasy romance,maleficent,angelina jolie pitt sharlto copley sam riley robert stromberg action adventure family fantasy romance curse dark fantasy fairy king kingdom english
matt reeves,gary oldman,judy greer,kodi smit-mcphee,action adventure drama sci-fi,dawn of the planet of the apes,gary oldman judy greer kodi smit-mcphee matt reeves action adventure drama sci-fi ape dam leader post apocalypse sequel english
carl rinsch,keanu reeves,cary-hiroyuki tagawa,jin akanishi,action adventure drama fantasy,47 ronin,keanu reeves cary-hiroyuki tagawa jin akanishi carl rinsch action adventure drama fantasy box office flop ronin samurai shogun tournament english
anthony russo,scarlett johansson,chris evans,hayley atwell,action adventure sci-fi,captain america: the winter soldier,scarlett johansson chris evans hayley atwell anthony russo action adventure sci-fi conspiracy heroism megalomaniac super soldier world domination english
mike mitchell,jon hamm,kathy griffin,mary kay place,adventure animation comedy family fantasy,shrek forever after,jon hamm kathy griffin mary kay place mike mitchell adventure animation comedy family fantasy alternate world fairy tale parody female warrior ogre true love english
brad bird,judy greer,chris bauer,thomas robinson,action adventure family mystery sci-fi,tomorrowland,judy greer chris bauer thomas robinson brad bird action adventure family mystery sci-fi boy genius futuristic city inventor teenage girl time travel english
don hall,damon wayans jr.,daniel henney,abraham benrubi,action adventure animation comedy drama family sci-fi,big hero 6,damon wayans jr. daniel henney abraham benrubi don hall action adventure animation comedy drama family sci-fi high tech martial arts masked man robot superhero english
rich moore,jack mcbrayer,sarah silverman,joe lo truglio,adventure animation comedy family sci-fi,wreck-it ralph,jack mcbrayer sarah silverman joe lo truglio rich moore adventure animation comedy family sci-fi arcade candy glitch king medal english
robert zemeckis,tom hanks,eddie deezen,peter scolari,adventure animation family fantasy,the polar express,tom hanks eddie deezen peter scolari robert zemeckis adventure animation family fantasy boy christmas christmas eve north pole train english
roland emmerich,vivica a. fox,sela ward,judd hirsch,action adventure sci-fi,independence day: resurgence,vivica a. fox sela ward judd hirsch roland emmerich action adventure sci-fi alien battle defense independence day mothership english
dean deblois,gerard butler,america ferrera,craig ferguson,adventure animation family fantasy,how to train your dragon,gerard butler america ferrera craig ferguson dean deblois adventure animation family fantasy dragon island training viking village english
jonathan mostow,nick stahl,m.c. gainey,carolyn hennesy,action sci-fi,terminator 3: rise of the machines,nick stahl m.c. gainey carolyn hennesy jonathan mostow action sci-fi drifter exploding truck future machine skynet english
james gunn,bradley cooper,vin diesel,djimon hounsou,action adventure sci-fi,guardians of the galaxy,bradley cooper vin diesel djimon hounsou james gunn action adventure sci-fi bounty hunter outer space raccoon talking animal tree english
christopher nolan,matthew mcconaughey,anne hathaway,mackenzie foy,adventure drama sci-fi,interstellar,matthew mcconaughey anne hathaway mackenzie foy christopher nolan adventure drama sci-fi black hole father daughter relationship saving the world space travel wormhole english
christopher nolan,leonardo dicaprio,tom hardy,joseph gordon-levitt,action adventure sci-fi thriller,inception,leonardo dicaprio tom hardy joseph gordon-levitt christopher nolan action adventure sci-fi thriller ambiguous ending corporate espionage dream subconscious thief english
peter jackson,aidan turner,adam brown,james nesbitt,adventure fantasy,the hobbit: an unexpected journey,aidan turner adam brown james nesbitt peter jackson adventure fantasy dragon dwarf hobbit orc wizard english
david fincher,brad pitt,jason flemyng,julia ormond,drama fantasy romance,the curious case of benjamin button,brad pitt jason flemyng julia ormond david fincher drama fantasy romance deformed baby diary lingerie slip older man younger woman relationship premature aging english
matthew vaughn,jennifer lawrence,michael fassbender,oliver platt,action adventure sci-fi,x-men: first class,jennifer lawrence michael fassbender oliver platt matthew vaughn action adventure sci-fi cia cia agent mutant nuclear war professor english
francis lawrence,jennifer lawrence,philip seymour hoffman,josh hutcherson,adventure sci-fi,the hunger games: mockingjay - part 2,jennifer lawrence philip seymour hoffman josh hutcherson francis lawrence adventure sci-fi death of sister dystopia execution rebellion revolution english
jon turteltaub,nicolas cage,omar benson miller,robert capron,action adventure family fantasy,the sorcerer's apprentice,nicolas cage omar benson miller robert capron jon turteltaub action adventure family fantasy chosen one enchanted object love spell training english
wolfgang petersen,jimmy bennett,mike vogel,andre braugher,action adventure drama thriller,poseidon,jimmy bennett mike vogel andre braugher wolfgang petersen action adventure drama thriller cruise escape ocean passenger water english
james bobin,johnny depp,alan rickman,anne hathaway,adventure family fantasy,alice through the looking glass,johnny depp alan rickman anne hathaway james bobin adventure family fantasy clock dark fantasy mad hatter queen sequel english
chris miller,justin timberlake,eric idle,rupert everett,adventure animation comedy family fantasy,shrek the third,justin timberlake eric idle rupert everett chris miller adventure animation comedy family fantasy disney spoof fairy tale prince princess tough guy english
duncan jones,dominic cooper,callum rennie,ruth negga,action adventure fantasy,warcraft,dominic cooper callum rennie ruth negga duncan jones action adventure fantasy based on video game fictional language fictional war orc sword and sorcery english
alan taylor,j.k. simmons,emilia clarke,matt smith,action adventure sci-fi,terminator genisys,j.k. simmons emilia clarke matt smith alan taylor action adventure sci-fi alternate timeline cyborg future robot time machine english
michael apted,bruce spence,shane rangi,laura brent,adventure family fantasy,the chronicles of narnia: the voyage of the dawn treader,bruce spence shane rangi laura brent michael apted adventure family fantasy dragon king mouse quest warrior english
michael bay,jennifer garner,jaime king,mako,action drama history romance war,pearl harbor,jennifer garner jaime king mako michael bay action drama history romance war air raid black smoke japanese military japanese navy sunday english
michael bay,zack ward,michael o'neill,kevin dunn,action adventure sci-fi,transformers,zack ward michael o'neill kevin dunn michael bay action adventure sci-fi alien contact autobot decepticon robot vs. robot teenage hero english
oliver stone,anthony hopkins,angelina jolie pitt,brian blessed,action adventure biography drama history romance war,alexander,anthony hopkins angelina jolie pitt brian blessed oliver stone action adventure biography drama history romance war ancient greece conquest greek greek myth king english
david yates,robert pattinson,daniel radcliffe,fiona shaw,adventure family fantasy mystery,harry potter and the order of the phoenix,robert pattinson daniel radcliffe fiona shaw david yates adventure family fantasy mystery battle magic school teacher wizard english
mike newell,robert pattinson,daniel radcliffe,rupert grint,adventure family fantasy mystery,harry potter and the goblet of fire,robert pattinson daniel radcliffe rupert grint mike newell adventure family fantasy mystery fire goblet magic tournament wizard english
peter berg,will smith,charlize theron,eddie marsan,action drama,hancock,will smith charlize theron eddie marsan peter berg action drama bully comeuppance destruction prison superhero tough girl english
francis lawrence,will smith,alice braga,willow smith,drama horror sci-fi,i am legend,will smith alice braga willow smith francis lawrence drama horror sci-fi new york city pandemic post apocalypse survivalist virus english
tim burton,johnny depp,christopher lee,david kelly,adventure comedy family fantasy,charlie and the chocolate factory,johnny depp christopher lee david kelly tim burton adventure comedy family fantasy chocolate diminution miniaturization physical flexability ticket english
brad bird,janeane garofalo,john ratzenberger,brian dennehy,animation comedy family fantasy,ratatouille,janeane garofalo john ratzenberger brian dennehy brad bird animation comedy family fantasy chef food french rat restaurant english
christopher nolan,christian bale,liam neeson,morgan freeman,action adventure,batman begins,christian bale liam neeson morgan freeman christopher nolan action adventure armored car gangster gotham mixed martial arts social decay english
eric darnell,bernie mac,jada pinkett smith,cedric the entertainer,action adventure animation comedy family,madagascar: escape 2 africa,bernie mac jada pinkett smith cedric the entertainer eric darnell action adventure animation comedy family africa madagascar new york city sequel zoo english
shawn levy,robin williams,rami malek,steve coogan,adventure comedy family fantasy,night at the museum: battle of the smithsonian,robin williams rami malek steve coogan shawn levy adventure comedy family fantasy hdtv motorcycle museum security guard tyrannosaurus rex english
gavin hood,hugh jackman,ryan reynolds,dominic monaghan,action adventure fantasy sci-fi thriller,x-men origins: wolverine,hugh jackman ryan reynolds dominic monaghan gavin hood action adventure fantasy sci-fi thriller army civil war claw fight commando wolverine the character english
lana wachowski,essie davis,collin chou,nona gaye,action sci-fi,the matrix revolutions,essie davis collin chou nona gaye lana wachowski action sci-fi battle epic fight future machine english
chris buck,josh gad,maurice lamarche,livvy stubenrauch,adventure animation comedy family fantasy musical,frozen,josh gad maurice lamarche livvy stubenrauch chris buck adventure animation comedy family fantasy musical magic sister love sister sister relationship snow snowman english
lana wachowski,steve bastoni,daniel bernhardt,helmut bakaitis,action sci-fi,the matrix reloaded,steve bastoni daniel bernhardt helmut bakaitis lana wachowski action sci-fi car motorcycle chase one against many oracle prophecy stylized violence english
alan taylor,chris hemsworth,natalie portman,anthony hopkins,action adventure fantasy,thor: the dark world,chris hemsworth natalie portman anthony hopkins alan taylor action adventure fantasy arrest portal thor warrior weapon english
george miller,tom hardy,charlize theron,zoë kravitz,action adventure sci-fi thriller,mad max: fury road,tom hardy charlize theron zoë kravitz george miller action adventure sci-fi thriller australia desert escape on the run post apocalypse english
ron howard,tom hanks,ayelet zurer,armin mueller-stahl,mystery thriller,angels & demons,tom hanks ayelet zurer armin mueller-stahl ron howard mystery thriller conclave illuminati murder reference to bernini reference to raphael english
kenneth branagh,chris hemsworth,natalie portman,anthony hopkins,action adventure fantasy,thor,chris hemsworth natalie portman anthony hopkins kenneth branagh action adventure fantasy battle marvel cinematic universe scientist thor throne english
byron howard,chloë grace moretz,diedrich bader,james lipton,adventure animation comedy drama family,bolt,chloë grace moretz diedrich bader james lipton byron howard adventure animation comedy drama family cat dog hamster new york city superpower english
hoyt yeatman,kelli garner,piper mackenzie harris,niecy nash,action adventure animation comedy family fantasy sci-fi,g-force,kelli garner piper mackenzie harris niecy nash hoyt yeatman action adventure animation comedy family fantasy sci-fi fbi director guinea pig household appliance secret agent talking mouse english
jonathan liebesman,liam neeson,edgar ramírez,lily james,action adventure fantasy,wrath of the titans,liam neeson edgar ramírez lily james jonathan liebesman action adventure fantasy ares hades titan underworld zeus english
tim burton,johnny depp,chloë grace moretz,christopher lee,comedy fantasy horror,dark shadows,johnny depp chloë grace moretz christopher lee tim burton comedy fantasy horror camera shot of feet cartoon on tv female stockinged feet female stockinged soles foot closeup english
christopher mcquarrie,tom cruise,jeremy renner,sean harris,action adventure thriller,mission: impossible - rogue nation,tom cruise jeremy renner sean harris christopher mcquarrie action adventure thriller capture computer hacker mission rogue agent spy english
joe johnston,anthony hopkins,simon merrells,art malik,drama fantasy horror thriller,the wolfman,anthony hopkins simon merrells art malik joe johnston drama fantasy horror thriller asylum death full moon transformation werewolf english
david yates,christoph waltz,alexander skarsgård,casper crump,action adventure drama romance,the legend of tarzan,christoph waltz alexander skarsgård casper crump david yates action adventure drama romance africa capture jungle male objectification tarzan english
steve hickner,matthew broderick,oprah winfrey,rip torn,adventure animation comedy family,bee movie,matthew broderick oprah winfrey rip torn steve hickner adventure animation comedy family bee dream sequence egg scatological humor squashed bug english
jennifer yuh nelson,angelina jolie pitt,gary oldman,mike bell,action adventure animation comedy family,kung fu panda 2,angelina jolie pitt gary oldman mike bell jennifer yuh nelson action adventure animation comedy family china kung fu panda peacock tigress english
m. night shyamalan,seychelle gabriel,noah ringer,aasif mandvi,action adventure family fantasy,the last airbender,seychelle gabriel noah ringer aasif mandvi m. night shyamalan action adventure family fantasy avatar fire kingdom tribe water english
j.j. abrams,philip seymour hoffman,tom cruise,eddie marsan,action adventure thriller,mission: impossible iii,philip seymour hoffman tom cruise eddie marsan j.j. abrams action adventure thriller arms dealer fictional government agency mission rescue vatican english
roland emmerich,channing tatum,jake weber,matt craven,action drama thriller,white house down,channing tatum jake weber matt craven roland emmerich action drama thriller black u.s. president president secret service tour white house english
simon wells,elisabeth harnois,dan fogler,tom everett scott,action adventure animation comedy family sci-fi,mars needs moms,elisabeth harnois dan fogler tom everett scott simon wells action adventure animation comedy family sci-fi boy martian rescue robot sexism english
david bowers,hugh jackman,kate winslet,david suchet,adventure animation comedy family,flushed away,hugh jackman kate winslet david suchet david bowers adventure animation comedy family boat frog rat sewer toad english
rob minkoff,ty burrell,zach callison,karan brar,adventure animation comedy family sci-fi,mr. peabody & sherman,ty burrell zach callison karan brar rob minkoff adventure animation comedy family sci-fi dog father son relationship inventor talking dog time travel english
wolfgang petersen,brad pitt,orlando bloom,julian glover,adventure,troy,brad pitt orlando bloom julian glover wolfgang petersen adventure greek mythology prince trojan troy english
eric darnell,jada pinkett smith,martin short,cedric the entertainer,adventure animation comedy family,madagascar 3: europe's most wanted,jada pinkett smith martin short cedric the entertainer eric darnell adventure animation comedy family animal circus island name in title lemur penguin english
lee tamahori,toby stephens,colin salmon,rick yune,action adventure thriller,die another day,toby stephens colin salmon rick yune lee tamahori action adventure thriller catfight clinic colonel diamond patricide english
michael bay,bruce willis,steve buscemi,will patton,action adventure sci-fi thriller,armageddon,bruce willis steve buscemi will patton michael bay action adventure sci-fi thriller asteroid astronaut bomb meteorite outer space english
barry sonnenfeld,will smith,rosario dawson,rip torn,action adventure comedy family fantasy mystery sci-fi,men in black ii,will smith rosario dawson rip torn barry sonnenfeld action adventure comedy family fantasy mystery sci-fi alien lingerie lingerie model m.i.b. pug english
robert zemeckis,robin wright,anthony hopkins,sebastian roché,action adventure animation fantasy,beowulf,robin wright anthony hopkins sebastian roché robert zemeckis action adventure animation fantasy creature demon king reward warrior english
alessandro carloni,j.k. simmons,angelina jolie pitt,wayne knight,action adventure animation comedy family,kung fu panda 3,j.k. simmons angelina jolie pitt wayne knight alessandro carloni action adventure animation comedy family china kung fu panda pig village english
brad bird,tom cruise,jeremy renner,michael nyqvist,action adventure thriller,mission: impossible - ghost protocol,tom cruise jeremy renner michael nyqvist brad bird action adventure thriller dubai kremlin race against time russian terrorist english
peter ramsey,hugh jackman,kamil mcfadden,khamani griffin,adventure animation family fantasy,rise of the guardians,hugh jackman kamil mcfadden khamani griffin peter ramsey adventure animation family fantasy belief box office hit children new york city tooth english
dean parisot,john michael higgins,richard burgi,david herman,comedy crime,fun with dick and jane,john michael higgins richard burgi david herman dean parisot comedy crime animal abuse ceo heist suburb unemployment english
edward zwick,tom cruise,tony goldwyn,chad lindberg,action drama history war,the last samurai,tom cruise tony goldwyn chad lindberg edward zwick action drama history war captain emperor honor japan samurai english
