director_name,actor_1_name,actor_2_name,actor_3_name,genres,movie_title,plot_keywords,language,comb
david ayer,will smith,robin atkin downes,ike barinholtz,action adventure comedy sci-fi,suicide squad,based on comic book critically bashed father daughter relationship reference to superman super villain,english,will smith robin atkin downes ike barinholtz david ayer action adventure comedy sci-fi based on comic book critically bashed father daughter relationship reference to superman super villain english
tom shadyac,jimmy bennett,morgan freeman,steve carell,comedy family fantasy,evan almighty,ark change congressman depiction of god flood,english,jimmy bennett morgan freeman steve carell tom shadyac comedy family fantasy ark change congressman depiction of god flood english
doug liman,tom cruise,lara pulver,noah taylor,action adventure sci-fi,edge of tomorrow,alien combat dying repeatedly end of the world time loop,english,tom cruise lara pulver noah taylor doug liman action adventure sci-fi alien combat dying repeatedly end of the world time loop english
kevin reynolds,jeanne tripplehorn,rick aviles,zakes mokae,action adventure sci-fi thriller,waterworld,future sail sea smoker water,english,jeanne tripplehorn rick aviles zakes mokae kevin reynolds action adventure sci-fi thriller future sail sea smoker water english
stephen sommers,joseph gordon-levitt,dennis quaid,leo howard,action adventure sci-fi thriller,g.i. joe: the rise of cobra,cobra gi joe snake train warhead,english,joseph gordon-levitt dennis quaid leo howard stephen sommers action adventure sci-fi thriller cobra gi joe snake train warhead english
pete docter,amy poehler,mindy kaling,phyllis smith,adventure animation comedy drama family fantasy,inside out,anger joy memory running away sadness,english,amy poehler mindy kaling phyllis smith pete docter adventure animation comedy drama family fantasy anger joy memory running away sadness english
jon favreau,robert downey jr.,scarlett johansson,jon favreau,action adventure sci-fi,iron man 2,hammer military monaco revenge tony stark,english,robert downey jr. scarlett johansson jon favreau jon favreau action adventure sci-fi hammer military monaco revenge tony stark english
rupert sanders,chris hemsworth,kristen stewart,sam claflin,action adventure drama fantasy,snow white and the huntsman,evil queen fairy tale magic queen snow white,english,chris hemsworth kristen stewart sam claflin rupert sanders action adventure drama fantasy evil queen fairy tale magic queen snow white english
robert stromberg,angelina jolie pitt,sharlto copley,sam riley,action adventure family fantasy romance,maleficent,curse dark fantasy fairy king kingdom,english,angelina jolie pitt sharlto copley sam riley robert stromberg action adventure family fantasy romance curse dark fantasy fairy king kingdom english
matt reeves,gary oldman,judy greer,kodi smit-mcphee,action adventure drama sci-fi,dawn of the planet of the apes,ape dam leader post apocalypse sequel,english,gary oldman judy greer kodi smit-mcphee matt reeves action adventure drama sci-fi ape dam leader post apocalypse sequel english
carl rinsch,keanu reeves,cary-hiroyuki tagawa,jin akanishi,action adventure drama fantasy,47 ronin,box office flop ronin samurai shogun tournament,english,keanu reeves cary-hiroyuki tagawa jin akanishi carl rinsch action adventure drama fantasy box office flop ronin samurai shogun tournament english
anthony russo,scarlett johansson,chris evans,hayley atwell,action adventure sci-fi,captain america: the winter soldier,conspiracy heroism megalomaniac super soldier world domination,english,scarlett johansson chris evans hayley atwell anthony russo action adventure sci-fi conspiracy heroism megalomaniac super soldier world domination english
mike mitchell,jon hamm,kathy griffin,mary kay place,adventure animation comedy family fantasy,shrek forever after,alternate world fairy tale parody female warrior ogre true love,english,jon hamm kathy griffin mary kay place mike mitchell adventure animation comedy family fantasy alternate world fairy tale parody female warrior ogre true love english
brad bird,judy greer,chris bauer,thomas robinson,action adventure family mystery sci-fi,tomorrowland,boy genius futuristic city inventor teenage girl time travel,english,judy greer chris bauer thomas robinson brad bird action adventure family mystery sci-fi boy genius futuristic city inventor teenage girl time travel english
don hall,damon wayans jr.,daniel henney,abraham benrubi,action adventure animation comedy drama family sci-fi,big hero 6,high tech martial arts masked man robot superhero,english,damon wayans jr. daniel henney abraham benrubi don hall action adventure animation comedy drama family sci-fi high tech martial arts masked man robot superhero english
rich moore,jack mcbrayer,sarah silverman,joe lo truglio,adventure animation comedy family sci-fi,wreck-it ralph,arcade candy glitch king medal,english,jack mcbrayer sarah silverman joe lo truglio rich moore adventure animation comedy family sci-fi arcade candy glitch king medal english
robert zemeckis,tom hanks,eddie deezen,peter scolari,adventure animation family fantasy,the polar express,boy christmas christmas eve north pole train,english,tom hanks eddie deezen peter scolari robert zemeckis adventure animation family fantasy boy christmas christmas eve north pole train english
roland emmerich,vivica a. fox,sela ward,judd hirsch,action adventure sci-fi,independence day: resurgence,alien battle defense independence day mothership,english,vivica a. fox sela ward judd hirsch roland emmerich action adventure sci-fi alien battle defense independence day mothership english
dean deblois,gerard butler,america ferrera,craig ferguson,adventure animation family fantasy,how to train your dragon,dragon island training viking village,english,gerard butler america ferrera craig ferguson dean deblois adventure animation family fantasy dragon island training viking village english
jonathan mostow,nick stahl,m.c. gainey,carolyn hennesy,action sci-fi,terminator 3: rise of the machines,drifter exploding truck future machine skynet,english,nick stahl m.c. gainey carolyn hennesy jonathan mostow action sci-fi drifter exploding truck future machine skynet english
james gunn,bradley cooper,vin diesel,djimon hounsou,action adventure sci-fi,guardians of the galaxy,bounty hunter outer space raccoon talking animal tree,english,bradley cooper vin diesel djimon hounsou james gunn action adventure sci-fi bounty hunter outer space raccoon talking animal tree english
christopher nolan,matthew mcconaughey,anne hathaway,mackenzie foy,adventure drama sci-fi,interstellar,black hole father daughter relationship saving the world space travel wormhole,english,matthew mcconaughey anne hathaway mackenzie foy christopher nolan adventure drama sci-fi black hole father daughter relationship saving the world space travel wormhole english
christopher nolan,leonardo dicaprio,tom hardy,joseph gordon-levitt,action adventure sci-fi thriller,inception,ambiguous ending corporate espionage dream subconscious thief,english,leonardo dicaprio tom hardy joseph gordon-levitt christopher nolan action adventure sci-fi thriller ambiguous ending corporate espionage dream subconscious thief english
peter jackson,aidan turner,adam brown,james nesbitt,adventure fantasy,the hobbit: an unexpected journey,dragon dwarf hobbit orc wizard,english,aidan turner adam brown james nesbitt peter jackson adventure fantasy dragon dwarf hobbit orc wizard english
david fincher,brad pitt,jason flemyng,julia ormond,drama fantasy romance,the curious case of benjamin button,deformed baby diary lingerie slip older man younger woman relationship premature aging,english,brad pitt jason flemyng julia ormond david fincher drama fantasy romance deformed baby diary lingerie slip older man younger woman relationship premature aging english
matthew vaughn,jennifer lawrence,michael fassbender,oliver platt,action adventure sci-fi,x-men: first class,cia cia agent mutant nuclear war professor,english,jennifer lawrence michael fassbender oliver platt matthew vaughn action adventure sci-fi cia cia agent mutant nuclear war professor english
francis lawrence,jennifer lawrence,philip seymour hoffman,josh hutcherson,adventure sci-fi,the hunger games: mockingjay - part 2,death of sister dystopia execution rebellion revolution,english,jennifer lawrence philip seymour hoffman josh hutcherson francis lawrence adventure sci-fi death of sister dystopia execution rebellion revolution english
jon turteltaub,nicolas cage,omar benson miller,robert capron,action adventure family fantasy,the sorcerer's apprentice,chosen one enchanted object love spell training,english,nicolas cage omar benson miller robert capron jon turteltaub action adventure family fantasy chosen one enchanted object love spell training english
wolfgang petersen,jimmy bennett,mike vogel,andre braugher,action adventure drama thriller,poseidon,cruise escape ocean passenger water,english,jimmy bennett mike vogel andre braugher wolfgang petersen action adventure drama thriller cruise escape ocean passenger water english
james bobin,johnny depp,alan rickman,anne hathaway,adventure family fantasy,alice through the looking glass,clock dark fantasy mad hatter queen sequel,english,johnny depp alan rickman anne hathaway james bobin adventure family fantasy clock dark fantasy mad hatter queen sequel english
chris miller,justin timberlake,eric idle,rupert everett,adventure animation comedy family fantasy,shrek the third,disney spoof fairy tale prince princess tough guy,english,justin timberlake eric idle rupert everett chris miller adventure animation comedy family fantasy disney spoof fairy tale prince princess tough guy english
duncan jones,dominic cooper,callum rennie,ruth negga,action adventure fantasy,warcraft,based on video game fictional language fictional war orc sword and sorcery,english,dominic cooper callum rennie ruth negga duncan jones action adventure fantasy based on video game fictional language fictional war orc sword and sorcery english
alan taylor,j.k. simmons,emilia clarke,matt smith,action adventure sci-fi,terminator genisys,alternate timeline cyborg future robot time machine,english,j.k. simmons emilia clarke matt smith alan taylor action adventure sci-fi alternate timeline cyborg future robot time machine english
michael apted,bruce spence,shane rangi,laura brent,adventure family fantasy,the chronicles of narnia: the voyage of the dawn treader,dragon king mouse quest warrior,english,bruce spence shane rangi laura brent michael apted adventure family fantasy dragon king mouse quest warrior english
michael bay,jennifer garner,jaime king,mako,action drama history romance war,pearl harbor,air raid black smoke japanese military japanese navy sunday,english,jennifer garner jaime king mako michael bay action drama history romance war air raid black smoke japanese military japanese navy sunday english
michael bay,zack ward,michael o'neill,kevin dunn,action adventure sci-fi,transformers,alien contact autobot decepticon robot vs. robot teenage hero,english,zack ward michael o'neill kevin dunn michael bay action adventure sci-fi alien contact autobot decepticon robot vs. robot teenage hero english
oliver stone,anthony hopkins,angelina jolie pitt,brian blessed,action adventure biography drama history romance war,alexander,ancient greece conquest greek greek myth king,english,anthony hopkins angelina jolie pitt brian blessed oliver stone action adventure biography drama history romance war ancient greece conquest greek greek myth king english
david yates,robert pattinson,daniel radcliffe,fiona shaw,adventure family fantasy mystery,harry potter and the order of the phoenix,battle magic school teacher wizard,english,robert pattinson daniel radcliffe fiona shaw david yates adventure family fantasy mystery battle magic school teacher wizard english
mike newell,robert pattinson,daniel radcliffe,rupert grint,adventure family fantasy mystery,harry potter and the goblet of fire,fire goblet magic tournament wizard,english,robert pattinson daniel radcliffe rupert grint mike newell adventure family fantasy mystery fire goblet magic tournament wizard english
peter berg,will smith,charlize theron,eddie marsan,action drama,hancock,bully comeuppance destruction prison superhero tough girl,english,will smith charlize theron eddie marsan peter berg action drama bully comeuppance destruction prison superhero tough girl english
francis lawrence,will smith,alice braga,willow smith,drama horror sci-fi,i am legend,new york city pandemic post apocalypse survivalist virus,english,will smith alice braga willow smith francis lawrence drama horror sci-fi new york city pandemic post apocalypse survivalist virus english
tim burton,johnny depp,christopher lee,david kelly,adventure comedy family fantasy,charlie and the chocolate factory,chocolate diminution miniaturization physical flexability ticket,english,johnny depp christopher lee david kelly tim burton adventure comedy family fantasy chocolate diminution miniaturization physical flexability ticket english
brad bird,janeane garofalo,john ratzenberger,brian dennehy,animation comedy family fantasy,ratatouille,chef food french rat restaurant,english,janeane garofalo john ratzenberger brian dennehy brad bird animation comedy family fantasy chef food french rat restaurant english
christopher nolan,christian bale,liam neeson,morgan freeman,action adventure,batman begins,armored car gangster gotham mixed martial arts social decay,english,christian bale liam neeson morgan freeman christopher nolan action adventure armored car gangster gotham mixed martial arts social decay english
eric darnell,bernie mac,jada pinkett smith,cedric the entertainer,action adventure animation comedy family,madagascar: escape 2 africa,africa madagascar new york city sequel zoo,english,bernie mac jada pinkett smith cedric the entertainer eric darnell action adventure animation comedy family africa madagascar new york city sequel zoo english
shawn levy,robin williams,rami malek,steve coogan,adventure comedy family fantasy,night at the museum: battle of the smithsonian,hdtv motorcycle museum security guard tyrannosaurus rex,english,robin williams rami malek steve coogan shawn levy adventure comedy family fantasy hdtv motorcycle museum security guard tyrannosaurus rex english
gavin hood,hugh jackman,ryan reynolds,dominic monaghan,action adventure fantasy sci-fi thriller,x-men origins: wolverine,army civil war claw fight commando wolverine the character,english,hugh jackman ryan reynolds dominic monaghan gavin hood action adventure fantasy sci-fi thriller army civil war claw fight commando wolverine the character english
lana wachowski,essie davis,collin chou,nona gaye,action sci-fi,the matrix revolutions,battle epic fight future machine,english,essie davis collin chou nona gaye lana wachowski action sci-fi battle epic fight future machine english
chris buck,josh gad,maurice lamarche,livvy stubenrauch,adventure animation comedy family fantasy musical,frozen,magic sister love sister sister relationship snow snowman,english,josh gad maurice lamarche livvy stubenrauch chris buck adventure animation comedy family fantasy musical magic sister love sister sister relationship snow snowman english
lana wachowski,steve bastoni,daniel bernhardt,helmut bakaitis,action sci-fi,the matrix reloaded,car motorcycle chase one against many oracle prophecy stylized violence,english,steve bastoni daniel bernhardt helmut bakaitis lana wachowski action sci-fi car motorcycle chase one against many oracle prophecy stylized violence english
alan taylor,chris hemsworth,natalie portman,anthony hopkins,action adventure fantasy,thor: the dark world,arrest portal thor warrior weapon,english,chris hemsworth natalie portman anthony hopkins alan taylor action adventure fantasy arrest portal thor warrior weapon english
george miller,tom hardy,charlize theron,zoë kravitz,action adventure sci-fi thriller,mad max: fury road,australia desert escape on the run post apocalypse,english,tom hardy charlize theron zoë kravitz george miller action adventure sci-fi thriller australia desert escape on the run post apocalypse english
ron howard,tom hanks,ayelet zurer,armin mueller-stahl,mystery thriller,angels & demons,conclave illuminati murder reference to bernini reference to raphael,english,tom hanks ayelet zurer armin mueller-stahl ron howard mystery thriller conclave illuminati murder reference to bernini reference to raphael english
kenneth branagh,chris hemsworth,natalie portman,anthony hopkins,action adventure fantasy,thor,battle marvel cinematic universe scientist thor throne,english,chris hemsworth natalie portman anthony hopkins kenneth branagh action adventure fantasy battle marvel cinematic universe scientist thor throne english
byron howard,chloë grace moretz,diedrich bader,james lipton,adventure animation comedy drama family,bolt,cat dog hamster new york city superpower,english,chloë grace moretz diedrich bader james lipton byron howard adventure animation comedy drama family cat dog hamster new york city superpower english
