director_name,actor_1_name,actor_2_name,actor_3_name,genres,movie_title,plot_keywords,language
michael apted,bruce spence,shane rangi,laura brent,adventure family fantasy,the chronicles of narnia: the voyage of the dawn treader,dragon king mouse quest warrior,english
michael bay,jennifer garner,jaime king,mako,action drama history romance war,pearl harbor,air raid black smoke japanese military japanese navy sunday,english
michael bay,zack ward,michael o'neill,kevin dunn,action adventure sci-fi,transformers,alien contact autobot decepticon robot vs. robot teenage hero,english
oliver stone,anthony hopkins,angelina jolie pitt,brian blessed,action adventure biography drama history romance war,alexander,ancient greece conquest greek greek myth king,english
david yates,robert pattinson,daniel radcliffe,fiona shaw,adventure family fantasy mystery,harry potter and the order of the phoenix,battle magic school teacher wizard,english
mike newell,robert pattinson,daniel radcliffe,rupert grint,adventure family fantasy mystery,harry potter and the goblet of fire,fire goblet magic tournament wizard,english
peter berg,will smith,charlize theron,eddie marsan,action drama,hancock,bully comeuppance destruction prison superhero tough girl,english
francis lawrence,will smith,alice braga,willow smith,drama horror sci-fi,i am legend,new york city pandemic post apocalypse survivalist virus,english
tim burton,johnny depp,christopher lee,david kelly,adventure comedy family fantasy,charlie and the chocolate factory,chocolate diminution miniaturization physical flexability ticket,english
brad bird,janeane garofalo,john ratzenberger,brian dennehy,animation comedy family fantasy,ratatouille,chef food french rat restaurant,english
christopher nolan,christian bale,liam neeson,morgan freeman,action adventure,batman begins,armored car gangster gotham mixed martial arts social decay,english
eric darnell,bernie mac,jada pinkett smith,cedric the entertainer,action adventure animation comedy family,madagascar: escape 2 africa,africa madagascar new york city sequel zoo,english
shawn levy,robin williams,rami malek,steve coogan,adventure comedy family fantasy,night at the museum: battle of the smithsonian,hdtv motorcycle museum security guard tyrannosaurus rex,english
gavin hood,hugh jackman,ryan reynolds,dominic monaghan,action adventure fantasy sci-fi thriller,x-men origins: wolverine,army civil war claw fight commando wolverine the character,english
lana wachowski,essie davis,collin chou,nona gaye,action sci-fi,the matrix revolutions,battle epic fight future machine,english
chris buck,josh gad,maurice lamarche,livvy stubenrauch,adventure animation comedy family fantasy musical,frozen,magic sister love sister sister relationship snow snowman,english
lana wachowski,steve bastoni,daniel bernhardt,helmut bakaitis,action sci-fi,the matrix reloaded,car motorcycle chase one against many oracle prophecy stylized violence,english
alan taylor,chris hemsworth,natalie portman,anthony hopkins,action adventure fantasy,thor: the dark world,arrest portal thor warrior weapon,english
george miller,tom hardy,charlize theron,zoë kravitz,action adventure sci-fi thriller,mad max: fury road,australia desert escape on the run post apocalypse,english
ron howard,tom hanks,ayelet zurer,armin mueller-stahl,mystery thriller,angels & demons,conclave illuminati murder reference to bernini reference to raphael,english
kenneth branagh,chris hemsworth,natalie portman,anthony hopkins,action adventure fantasy,thor,battle marvel cinematic universe scientist thor throne,english
byron howard,chloë grace moretz,diedrich bader,james lipton,adventure animation comedy drama family,bolt,cat dog hamster new york city superpower,english
hoyt yeatman,kelli garner,piper mackenzie harris,niecy nash,action adventure animation comedy family fantasy sci-fi,g-force,fbi director guinea pig household appliance secret agent talking mouse,english
jonathan liebesman,liam neeson,edgar ramírez,lily james,action adventure fantasy,wrath of the titans,ares hades titan underworld zeus,english
tim burton,johnny depp,chloë grace moretz,christopher lee,comedy fantasy horror,dark shadows,camera shot of feet cartoon on tv female stockinged feet female stockinged soles foot closeup,english
christopher mcquarrie,tom cruise,jeremy renner,sean harris,action adventure thriller,mission: impossible - rogue nation,capture computer hacker mission rogue agent spy,english
joe johnston,anthony hopkins,simon merrells,art malik,drama fantasy horror thriller,the wolfman,asylum death full moon transformation werewolf,english
david yates,christoph waltz,alexander skarsgård,casper crump,action adventure drama romance,the legend of tarzan,africa capture jungle male objectification tarzan,english
steve hickner,matthew broderick,oprah winfrey,rip torn,adventure animation comedy family,bee movie,bee dream sequence egg scatological humor squashed bug,english
jennifer yuh nelson,angelina jolie pitt,gary oldman,mike bell,action adventure animation comedy family,kung fu panda 2,china kung fu panda peacock tigress,english
m. night shyamalan,seychelle gabriel,noah ringer,aasif mandvi,action adventure family fantasy,the last airbender,avatar fire kingdom tribe water,english
j.j. abrams,philip seymour hoffman,tom cruise,eddie marsan,action adventure thriller,mission: impossible iii,arms dealer fictional government agency mission rescue vatican,english
roland emmerich,channing tatum,jake weber,matt craven,action drama thriller,white house down,black u.s. president president secret service tour white house,english
simon wells,elisabeth harnois,dan fogler,tom everett scott,action adventure animation comedy family sci-fi,mars needs moms,boy martian rescue robot sexism,english
david bowers,hugh jackman,kate winslet,david suchet,adventure animation comedy family,flushed away,boat frog rat sewer toad,english
joe wright,hugh jackman,cara delevingne,nonso anozie,adventure family fantasy,pan,1940s child hero fantasy world orphan reference to peter pan,english
rob minkoff,ty burrell,zach callison,karan brar,adventure animation comedy family sci-fi,mr. peabody & sherman,dog father son relationship inventor talking dog time travel,english
wolfgang petersen,brad pitt,orlando bloom,julian glover,adventure,troy,greek mythology prince trojan troy,english
eric darnell,jada pinkett smith,martin short,cedric the entertainer,adventure animation comedy family,madagascar 3: europe's most wanted,animal circus island name in title lemur penguin,english
lee tamahori,toby stephens,colin salmon,rick yune,action adventure thriller,die another day,catfight clinic colonel diamond patricide,english
paul feig,ed begley jr.,kate mckinnon,zach woods,action comedy fantasy sci-fi,ghostbusters,ghost ghostbuster ghostbusters male objectification reboot,english
michael bay,bruce willis,steve buscemi,will patton,action adventure sci-fi thriller,armageddon,asteroid astronaut bomb meteorite outer space,english
barry sonnenfeld,will smith,rosario dawson,rip torn,action adventure comedy family fantasy mystery sci-fi,men in black ii,alien lingerie lingerie model m.i.b. pug,english
robert zemeckis,robin wright,anthony hopkins,sebastian roché,action adventure animation fantasy,beowulf,creature demon king reward warrior,english
alessandro carloni,j.k. simmons,angelina jolie pitt,wayne knight,action adventure animation comedy family,kung fu panda 3,china kung fu panda pig village,english
brad bird,tom cruise,jeremy renner,michael nyqvist,action adventure thriller,mission: impossible - ghost protocol,dubai kremlin race against time russian terrorist,english
peter ramsey,hugh jackman,kamil mcfadden,khamani griffin,adventure animation family fantasy,rise of the guardians,belief box office hit children new york city tooth,english
dean parisot,john michael higgins,richard burgi,david herman,comedy crime,fun with dick and jane,animal abuse ceo heist suburb unemployment,english
edward zwick,tom cruise,tony goldwyn,chad lindberg,action drama history war,the last samurai,captain emperor honor japan samurai,english
ridley scott,christian bale,maría valverde,ben mendelsohn,action adventure drama,exodus: gods and kings,egypt exodus moses pharaoh plague,english
j.j. abrams,chris hemsworth,leonard nimoy,bruce greenwood,action adventure sci-fi,star trek,box office hit future lifted by the throat star trek vulcan,english
sam raimi,j.k. simmons,james franco,kirsten dunst,action adventure fantasy romance,spider-man,evil goblin spider spider man superhero,english
dean deblois,gerard butler,djimon hounsou,america ferrera,action adventure animation comedy family fantasy,how to train your dragon 2,dragon father son relationship husband wife relationship mother son relationship viking,english
alex proyas,gerard butler,elodie yung,bryan brown,action adventure fantasy,gods of egypt,ancient egypt egypt egyptian egyptian god egyptian goddess,english
rob cohen,sam shepard,joe morton,richard roxburgh,action adventure sci-fi thriller,stealth,artificial intelligence box office flop fighter jet navy pilot,english
zack snyder,matt frewer,billy crudup,stephen mchattie,action drama mystery sci-fi,watchmen,conspiracy cynicism false promise of the american dream male full frontal nudity male nudity,english
richard donner,jet li,rene russo,darlene love,action crime thriller,lethal weapon 4,kung fu lapd martial arts private investigator triad,english
ang lee,kevin rankin,regi davis,celia weston,action sci-fi,hulk,1980s c 130 hercules monster panzer san francisco california,english
jon m. chu,channing tatum,dwayne johnson,elodie yung,action adventure sci-fi thriller,g.i. joe: retaliation,general gi joe martial arts ninja president,english
breck eisner,matthew mcconaughey,rainn wilson,delroy lindo,action adventure comedy thriller,sahara,beach civil war desert dictator ship,english
hironobu sakaguchi,steve buscemi,ming-na wen,jean simmons,action adventure animation fantasy romance sci-fi,final fantasy: the spirits within,general military scientist soldier year 2065,english
joe johnston,chris evans,dominic cooper,hayley atwell,action adventure sci-fi,captain america: the first avenger,arctic captain america scientist tesseract war bond,english
michael apted,colin salmon,maria grazia cucinotta,desmond llewelyn,action adventure thriller,the world is not enough,british oil scientist terrorist tycoon,english
peter weir,james d'arcy,lee ingleby,david threlfall,action adventure drama history war,master and commander: the far side of the world,1800s napoleonic wars pursuit royal navy ship,english
bill condon,robert pattinson,kristen stewart,taylor lautner,adventure drama fantasy romance,the twilight saga: breaking dawn - part 2,battle friend super strength vampire vision,english
george miller,robin williams,brad pitt,common,animation comedy family musical,happy feet 2,3d antarctica krill penguin sequel,english
louis leterrier,ty burrell,peter mensah,william hurt,action adventure sci-fi,the incredible hulk,antidote cure hulk marvel cinematic universe opening action scene,english
unknown_director,don johnson,philip michael thomas,john diehl,action crime drama mystery thriller,miami vice            ,cult tv detective drugs police undercover,english
steven spielberg,mark rylance,penelope wilton,rafe spall,adventure family fantasy,the bfg,cannibal evil brother giant london england queen,english
alejandro g. iñárritu,leonardo dicaprio,tom hardy,lukas haas,adventure drama thriller western,the revenant,bear attack cauterizing a wound native american revenge survival,english
david soren,ryan reynolds,snoop dogg,ben schwartz,adventure animation comedy family sport,turbo,accident freak accident race snail underdog,english
gore verbinski,johnny depp,ray winstone,stephen root,adventure animation comedy family western,rango,chameleon lizard sheriff water western town,english
eric darnell,benedict cumberbatch,annet mahendru,andy richter,adventure animation comedy family,penguins of madagascar,little girl park spy statue of liberty television van,english
paul greengrass,matt damon,edgar ramírez,albert finney,action mystery thriller,the bourne ultimatum,action hero cia dark past flashback memory,english
mark osborne,angelina jolie pitt,wayne knight,dan fogler,action adventure animation comedy family,kung fu panda,kung fu kung fu master master panda snow leopard,english
peyton reed,judy greer,hayley atwell,t.i.,action adventure comedy sci-fi,ant-man,ant chinatown san francisco heist sabotage vault,english
francis lawrence,jennifer lawrence,josh hutcherson,sandra ellis lafferty,adventure sci-fi thriller,the hunger games: catching fire,president snow television tour uprising,english
bill condon,robert pattinson,kristen stewart,taylor lautner,adventure drama fantasy romance,the twilight saga: breaking dawn - part 2,battle friend super strength vampire vision,english
tim johnson,jim parsons,matt jones,april winchell,adventure animation comedy family fantasy sci-fi,home,alien friendship alien invasion australia flying car mother daughter relationship,english
steven spielberg,tom cruise,lisa ann walter,rick gonzalez,adventure sci-fi thriller,war of the worlds,alien fight storm survival tripod,english
michael bay,will smith,henry rollins,jordi mollà,action comedy crime thriller,bad boys ii,cuba dea drugs money undercover,english
chris miller,salma hayek,constance marie,amy sedaris,action adventure animation comedy family fantasy,puss in boots,betrayal egg friend goose hero,english
phillip noyce,angelina jolie pitt,andre braugher,august diehl,action crime mystery thriller,salt,cia on the run russian russian spy strong female lead,english
darren aronofsky,anthony hopkins,emma watson,logan lerman,action adventure drama,noah,ark flood noah's ark water wrath of god,english
steven spielberg,toby jones,mackenzie crook,tony curran,action adventure family mystery,the adventures of tintin,captain morocco ship tintin treasure,english
alfonso cuarón,daniel radcliffe,gary oldman,rupert grint,adventure family fantasy mystery,harry potter and the prisoner of azkaban,magic muggle serial killer traitor wizard,english
baz luhrmann,essie davis,bryan brown,eddie baroo,adventure drama romance war,australia,australia cattle darwin drover japanese,english
m. night shyamalan,will smith,zoë kravitz,glenn morshower,action adventure sci-fi,after earth,box office flop father son team fear race against time real life father and son playing father and son,english
eric leighton,alfre woodard,d.b. sweeney,della reese,adventure animation family thriller,dinosaur,egg iguanodon lemur meteor nesting grounds,english
matt birch,rupert grint,dave legeno,ralph ineson,action fantasy,harry potter and the deathly hallows: part ii,unknown_keywords,english
shawn levy,robin williams,rami malek,steve coogan,adventure comedy family fantasy,night at the museum: secret of the tomb,museum museum of natural history manhattan new york city night watchman star died before release tablet,english
tom mcgrath,j.k. simmons,brad pitt,will ferrell,action animation comedy family sci-fi,megamind,battle city planet prison superhero,english
chris columbus,daniel radcliffe,fiona shaw,verne troyer,adventure family fantasy,harry potter and the sorcerer's stone,based on novel birthday evil wizard quidditch wizard,english
robert schwentke,ryan reynolds,jeff bridges,stephanie szostak,action comedy fantasy,r.i.p.d.,drug dealer gold partner police undead,english
hideaki anno,mark chinnery,shin'ya tsukamoto,atsuko maeda,action adventure drama horror sci-fi,godzilla resurgence,blood godzilla monster sequel,japanese
gore verbinski,johnny depp,orlando bloom,jack davenport,action adventure fantasy,pirates of the caribbean: the curse of the black pearl,caribbean curse governor pirate undead,english
matt birch,rupert grint,toby jones,alfred enoch,fantasy,harry potter and the deathly hallows: part i,unknown_keywords,english
francis lawrence,jennifer lawrence,philip seymour hoffman,josh hutcherson,adventure sci-fi thriller,the hunger games: mockingjay - part 1,based on young adult novel manipulation rebellion symbol uprising,english
ron howard,tom hanks,seth gabel,jürgen prochnow,mystery thriller,the da vinci code,based on supposedly true story holy grail mary magdalene opus dei secret,english
carlos saldanha,miguel ferrer,rachel crow,jeffrey garcia,adventure animation comedy family musical,rio 2,amazon bird father in law jungle no opening credits,english
bryan singer,hugh jackman,bruce davison,aaron stanford,action adventure fantasy sci-fi thriller,x-men 2,mutant prison professor school x men,english
justin lin,paul walker,vin diesel,dwayne johnson,action crime thriller,fast five,drug lord drugs federal agent heist police,english
guy ritchie,robert downey jr.,eddie marsan,paul anderson,action adventure crime mystery thriller,sherlock holmes: a game of shadows,factory gypsy investigation sherlock holmes train,english
louis leterrier,liam neeson,jason flemyng,alexa davalos,action adventure fantasy,clash of the titans,famous line hand to hand combat kraken rape zeus,english
paul verhoeven,ronny cox,rachel ticotin,marshall bell,action sci-fi,total recall,ambiguous ending false memory implanted memory memory space colony,english
